"ORF","Name","R1","R2","R3","R4","R5","R6","R7","R1.Bkg","R2.Bkg","R3.Bkg","R4.Bkg","R5.Bkg","R6.Bkg","R7.Bkg","G1","G2","G3","G4","G5","G6","G7","G1.Bkg","G2.Bkg","G3.Bkg","G4.Bkg","G5.Bkg","G6.Bkg","G7.Bkg"
"YHR007C","ERG11",7896,7484,14679,14617,9853,7599,6490,1155,1984,1323,1171,914,2445,981,8432,7173,11736,16798,12315,16111,13931,2404,2561,1598,1506,1696,2667,1244
"YBR218C","PYC2",12144,11177,10241,4820,4950,7047,17035,1074,1694,1243,876,1211,2444,742,11509,10226,13372,6500,6255,9024,6904,2148,2527,1641,1196,1553,2569,848
"YAL051W","FUN43",4478,6435,6230,6848,5111,7180,4497,1140,1950,1649,1183,898,2637,927,5865,5895,5345,6302,5400,7933,5026,2422,2496,1902,1501,1644,2808,1154
"YAL053W","",6343,8243,6743,3304,3556,4694,3849,1020,1897,1196,881,1045,2518,697,6762,7454,6323,3595,4689,5660,4145,2107,2663,1607,1162,1577,2544,857
"YAL054C","ACS1",1542,3044,2076,1695,1753,4806,10802,1082,1940,1504,1108,902,2610,980,3138,3785,2419,2114,2763,3561,1897,2405,2528,1847,1445,1713,2767,1142
"YAL055W","",1769,3243,2094,1367,1853,3580,1956,975,1821,1185,851,1047,2536,698,2844,4069,2583,1651,2530,3484,1550,1674,2648,1591,1114,1528,2668,870
"YAL056W","",3369,6908,4463,4174,2286,6435,4577,1107,1918,1575,984,869,2664,892,4534,5658,4282,4492,3304,6328,3658,2294,2472,1844,1296,1801,2858,1044
"YAL058W","CNE1",2616,4375,3699,1602,2262,4072,1694,1045,1823,1154,809,1069,2744,695,3543,4760,3711,1854,2957,4061,1911,2013,2685,1494,1086,1589,2758,841
"YOL109W","",11134,10286,11114,7221,7829,14776,14110,1063,1830,1138,858,1121,2408,705,8544,7967,6804,5459,7524,7569,5726,2021,2585,1491,1113,1546,2503,879
"YAL065C","",2896,2252,3118,2286,2083,3055,1779,1284,1602,1826,1122,972,1658,834,4338,3567,3438,2820,3035,3775,1964,2571,2571,2296,1618,1616,2527,1198
"YAL066W","",1676,2445,1585,1196,1670,2338,1283,1130,1516,1204,825,1004,1622,761,2872,3618,1985,1621,2178,2946,1469,2055,2539,1613,1178,1420,2272,967
"YAL067C","",1591,1822,1913,1359,1421,2808,1257,1233,1445,1554,1134,955,1746,812,3365,3324,2513,2055,2549,3344,1612,2587,2576,2036,1596,1687,2563,1234
"YAR002AC","",4467,5790,4515,3387,2567,4446,3598,1194,1559,1310,841,1108,1617,793,5244,6193,4359,3481,3050,5468,4650,2099,2500,1572,1205,1520,2313,1001
"YAR002W","FUN17",3528,2688,4797,2995,2398,3279,1395,1242,1656,1739,1094,1019,1759,772,4784,3970,4739,3734,3456,4180,2735,2456,2663,2183,1590,1733,2597,1164
"YAR003W","FUN16",2809,2777,3722,1819,2202,2384,7809,1135,1326,1368,879,1189,1612,781,3762,3689,3587,2315,2635,2934,6724,2105,2270,1631,1207,1556,2156,964
"YAL001C","TFC3",2255,9515,3158,3455,2090,4761,2845,1140,2308,1379,1238,940,2728,972,3832,6530,3648,3785,3188,4860,3238,2368,2801,1679,1591,1747,2788,1180
"YAL002W","VPS8",3850,5416,4193,2407,3225,5057,4285,1122,1726,1259,760,1326,2541,968,4934,5134,4630,2770,3940,5033,2777,2167,2533,1618,1073,1699,2622,997
"YAL003W","TEF5",18204,16170,21972,16098,7837,9027,5551,1231,2365,1679,1158,1055,2909,985,16798,16806,22926,24822,14794,20703,24345,2440,2964,1991,1544,1842,2941,1312
"YAL004W","",21484,20528,19478,15100,17163,18501,18895,1037,1684,1172,800,1267,2406,959,20383,20276,18771,15736,19856,18450,21495,1999,2536,1482,1070,1655,2597,1042
"YAL005C","SSA1",24749,24664,22777,29470,14863,22019,24951,1344,2104,1548,1373,897,2873,997,24368,24576,22463,30132,16896,21761,27819,2809,2804,1924,1757,1639,2796,1250
"YAL007C","",8988,9520,13624,5842,6637,8628,6015,965,1735,1193,787,1145,2368,1117,9698,8569,13133,6707,7364,9635,7939,2097,2456,1511,1087,1627,2590,1174
"YAL008W","FUN14",3177,6606,6649,5217,2591,9047,6876,1176,2028,1457,1282,958,2895,930,4389,5908,5996,4751,3488,5778,5537,2420,2773,1826,1558,1673,2873,1165
"YAL009W","SPO7",3848,6119,3938,2368,3127,6254,2256,1003,1546,1049,717,1180,2168,846,4794,5821,3974,2950,3835,5981,2557,1973,2235,1394,953,1493,2421,887
"YAL010C","MDM10",1710,6231,3034,1853,1359,4196,1821,1233,2160,1526,1394,975,3007,918,3459,7211,3350,2619,2468,3866,2223,2374,2848,1888,1772,1742,2941,1192
"YAL011W","FUN36",2625,3448,3003,1277,2223,3447,1793,987,1498,1249,759,1063,2148,847,3610,4148,3577,1838,3193,3939,2177,1916,2389,1600,1018,1476,2494,1002
"YAL012W","CYS3",8396,8974,20585,8248,3409,6673,3208,1130,2128,1466,1296,1017,2727,954,9099,9663,14874,12006,5674,12176,14293,2352,2778,1798,1636,1697,2799,1346
"YAL013W","DEP1",1376,2479,2161,921,1696,3041,949,963,1748,1335,698,1081,2264,647,2621,3325,2554,1356,2472,3140,1156,1923,2433,1673,987,1508,2468,830
"YAL014C","FUN34",3826,3315,3581,2573,2560,3869,1760,1406,1943,1847,1246,1156,2083,968,5223,4806,4290,3560,3471,4800,2789,2614,2989,2258,1736,1652,2933,1422
"YAL015C","FUN33",2213,2332,1815,1353,2545,2800,1387,1117,1380,1129,861,1413,1556,687,3217,3484,2220,1756,2634,2876,1523,2068,2384,1427,1209,1564,2178,906
"YAL016W","TPD3",5137,4628,7548,4970,3318,5207,3948,1285,1947,1698,1137,1057,1944,900,5942,5545,7445,5631,4147,5119,4467,2477,3015,2161,1613,1610,2710,1240
"YAL017W","FUN31",2674,3278,2086,2080,3296,3387,3311,1007,1493,1055,817,1357,1564,681,3706,4357,2594,2162,3009,3266,1806,1903,2518,1454,1150,1566,2158,861
"YAL018C","",1596,2042,1858,1303,1466,2530,1100,1299,1756,1560,1120,1000,1852,844,3240,3547,2396,1924,2333,3142,1435,2546,2950,2128,1581,1632,2714,1218
"YAL019W","FUN30",4617,4589,3381,2176,3288,3012,2261,1047,1378,980,741,1382,1578,674,5592,5808,3844,3127,4227,5077,3513,1957,2252,1355,1131,1708,2155,849
"YAL020C","ATS1",4483,4624,4019,2990,2912,4310,2168,1395,1863,1886,1140,1021,1890,858,5937,6169,4813,3900,4107,5923,3314,2581,2981,2308,1652,1782,2771,1218
"YAL021C","CCR4",7847,9105,5868,4690,5578,7613,4828,983,1349,962,757,1604,1515,667,8159,9417,6246,6089,6383,8892,5407,1787,2194,1298,1142,1779,2118,836
"YAL022C","FUN26",2516,3363,5710,2295,2905,3746,1649,1368,1816,2011,1245,1254,2114,870,3955,4566,4839,2663,3325,4163,2223,2508,2816,2436,1725,1843,2921,1248
"YAL023C","PMT2",10799,8444,7097,4916,7816,4349,3134,1009,1306,1021,862,1986,1572,692,10869,8782,7024,6345,7590,9338,6364,1921,2253,1355,1212,1786,2179,888
"YAL024C","LTE1",2926,2805,3248,2363,2102,3179,1535,1312,1897,1857,1126,1253,1905,814,4308,4271,3816,3077,2956,4332,2373,2444,3011,2285,1590,1749,2793,1205
"YAL025C","MAK16",6714,5525,3761,2269,3615,2548,1268,997,1344,1006,741,1766,1667,634,6566,6763,4127,3674,4968,5946,3789,1909,2267,1364,1103,1717,2287,817
"YAL026C","DRS2",7981,9946,9670,13266,7000,17345,12902,1117,2135,1581,1286,991,2672,959,8279,7975,7718,8589,5394,7818,8302,2240,2845,1870,1642,1774,2711,1198
"YAL027W","",2676,6734,3811,1772,2570,5393,2465,952,1651,1275,681,1323,2480,812,3894,4880,4037,2199,3407,4586,2123,1978,2415,1641,952,1661,2593,939
"YAL028AW","",2025,5777,2251,1973,1619,3911,2106,1104,2243,1641,1258,954,2737,799,3390,5164,2737,2425,2558,3734,1918,2242,2841,1969,1627,1700,2798,998
"YAL028W","",9630,8331,6529,5062,6983,13898,9243,1013,1557,1165,690,1230,2527,1147,9576,8177,7326,5626,7713,9205,6098,1953,2285,1492,964,1684,2727,1079
"YAL029C","MYO4",3641,9788,6148,4598,2331,4410,3063,1065,2163,1648,1222,959,2826,768,4900,6828,6123,5212,3361,5574,5604,2205,2658,2007,1594,1739,2724,982
"YAL030W","SNC1",3795,4716,4694,2792,3077,9011,3740,943,1676,1175,736,1305,2418,802,4840,4908,4919,3236,3802,6625,3052,1952,2449,1546,978,1593,2593,885
"YAL031C","FUN21",3625,5762,4688,3762,2435,7075,5069,1095,2282,1478,955,976,2722,848,4622,5842,4843,4497,3389,5307,4886,2235,2910,1839,1291,1761,2669,1054
"YAL032C","FUN20",2069,2876,3162,1270,2477,4167,2173,910,1618,1067,694,1311,2350,823,3212,3751,3900,1743,3344,3970,1999,1905,2278,1439,948,1507,2574,871
"YAL033W","FUN53",2631,4932,3225,2128,1639,3871,2122,1076,2598,1526,921,925,2609,924,3983,5601,3819,2859,2663,4093,3168,2206,3297,1823,1298,1669,2610,1191
"YAL034AW","",1782,3550,2510,1213,1995,5804,1646,959,1649,1031,686,1147,2418,934,2997,4464,2728,1592,2645,4408,1497,1922,2363,1321,976,1462,2538,950
"YAL034C","FUN19",1967,10177,3847,1702,1458,6719,10672,816,2396,1268,876,915,2705,983,3137,9539,4386,2569,2407,3695,3259,969,3086,1607,1220,1612,2571,1102
"YAL035W","FUN12",14221,11367,11108,5381,9382,9969,4443,993,1706,1147,668,1552,2254,1217,14045,10752,11223,8308,12665,15725,9081,1963,2351,1427,950,1672,2510,1116
"YAL036C","FUN11",5361,5639,8169,3224,3013,3331,1744,1404,2178,2108,1115,1243,2193,896,6216,6623,7101,4929,4512,5913,4466,2588,3214,2428,1582,1920,3042,1254
"YAL037W","",1452,1830,1311,1148,2342,2577,1168,934,1240,891,751,1432,1658,580,2655,2950,1659,1574,2510,3091,1231,1892,2154,1214,1090,1456,2183,751
"YAL038W","PYK1",23513,21360,14745,14751,11703,11393,4919,1305,2097,1743,1089,1193,2026,908,23294,19942,12827,19182,15702,26628,20980,2444,3063,2210,1554,1875,2922,1261
"YAL039C","CYC3",2813,3118,2092,1652,4468,4426,1603,970,1223,923,743,1500,1625,663,3905,4186,2378,2269,4421,5188,2180,1842,2144,1256,1104,1673,2105,839
"YAL040C","CLN3",3524,3847,6456,2691,2080,3894,2411,1268,1892,1862,1130,1227,2002,821,4635,4905,6009,3849,3157,4448,3307,2362,3059,2266,1528,1804,2772,1110
"YAL041W","CDC24",8318,2795,2484,1679,3861,3022,1691,968,1156,912,771,1910,1628,661,8608,3714,2796,2510,4125,4526,2281,1882,2048,1285,1119,1733,2091,856
"YAL042W","FUN9",1846,2657,3579,1486,2094,3173,1238,1225,1877,1870,1002,1075,1942,806,3396,4124,3544,2099,2986,3656,1796,2409,2981,2312,1413,1592,2672,1074
"YAL043C","PTA1",4114,3324,2073,1469,3689,3178,1933,928,1200,975,746,1761,1612,675,4899,4357,3003,2689,4603,5584,2509,1772,2074,1321,1088,1619,2150,852
