Category: Computers & Electronics

Month,r: (United States),python: (United States)
2004-01,43,28
2004-02,38,31
2004-03,39,29
2004-04,35,31
2004-05,37,27
2004-06,40,29
2004-07,40,31
2004-08,39,30
2004-09,37,29
2004-10,38,28
2004-11,45,26
2004-12,57,26
2005-01,41,28
2005-02,38,30
2005-03,37,28
2005-04,35,25
2005-05,36,31
2005-06,37,32
2005-07,37,29
2005-08,36,28
2005-09,35,27
2005-10,36,29
2005-11,48,26
2005-12,52,27
2006-01,36,26
2006-02,34,28
2006-03,33,27
2006-04,31,25
2006-05,31,24
2006-06,32,25
2006-07,30,26
2006-08,32,27
2006-09,41,26
2006-10,38,26
2006-11,52,24
2006-12,61,24
2007-01,35,23
2007-02,34,25
2007-03,32,24
2007-04,29,24
2007-05,30,26
2007-06,33,25
2007-07,34,25
2007-08,32,25
2007-09,31,25
2007-10,36,25
2007-11,53,23
2007-12,58,24
2008-01,38,24
2008-02,36,25
2008-03,33,24
2008-04,32,26
2008-05,33,25
2008-06,33,25
2008-07,34,27
2008-08,32,25
2008-09,34,27
2008-10,34,26
2008-11,43,24
2008-12,55,24
2009-01,36,24
2009-02,33,27
2009-03,33,28
2009-04,34,26
2009-05,30,25
2009-06,32,29
2009-07,30,28
2009-08,31,27
2009-09,32,29
2009-10,33,30
2009-11,42,29
2009-12,45,25
2010-01,32,24
2010-02,33,28
2010-03,31,28
2010-04,29,28
2010-05,30,27
2010-06,33,29
2010-07,28,24
2010-08,29,25
2010-09,32,25
2010-10,34,25
2010-11,42,27
2010-12,46,26
2011-01,35,27
2011-02,36,28
2011-03,35,28
2011-04,32,27
2011-05,32,27
2011-06,33,28
2011-07,33,27
2011-08,33,27
2011-09,34,29
2011-10,33,28
2011-11,45,26
2011-12,46,24
2012-01,35,25
2012-02,36,29
2012-03,31,27
2012-04,33,29
2012-05,30,28
2012-06,30,28
2012-07,30,29
2012-08,29,28
2012-09,33,30
2012-10,31,30
2012-11,42,27
2012-12,40,25
2013-01,31,30
2013-02,32,32
2013-03,31,33
2013-04,30,33
2013-05,28,31
2013-06,29,32
2013-07,28,33
2013-08,28,32
2013-09,29,33
2013-10,32,36
2013-11,40,35
2013-12,44,31
2014-01,31,33
2014-02,32,39
2014-03,30,38
2014-04,33,40
2014-05,31,37
2014-06,32,39
2014-07,30,38
2014-08,31,38
2014-09,34,41
2014-10,33,41
2014-11,40,38
2014-12,42,34
2015-01,34,37
2015-02,36,41
2015-03,35,42
2015-04,36,45
2015-05,32,42
2015-06,33,45
2015-07,34,47
2015-08,34,46
2015-09,36,50
2015-10,34,49
2015-11,38,45
2015-12,41,42
2016-01,33,47
2016-02,37,51
2016-03,35,50
2016-04,34,53
2016-05,31,47
2016-06,32,53
2016-07,31,48
2016-08,31,46
2016-09,33,52
2016-10,36,53
2016-11,43,53
2016-12,45,47
2017-01,37,54
2017-02,40,65
2017-03,41,66
2017-04,40,66
2017-05,35,60
2017-06,36,65
2017-07,34,60
2017-08,36,60
2017-09,37,65
2017-10,39,68
2017-11,44,65
2017-12,39,56
2018-01,34,62
2018-02,36,71
2018-03,38,70
2018-04,36,70
2018-05,32,64
2018-06,32,69
2018-07,30,67
2018-08,31,68
2018-09,37,72
2018-10,38,78
2018-11,33,71
2018-12,32,63
2019-01,36,67
2019-02,38,80
2019-03,34,78
2019-04,38,80
2019-05,31,73
2019-06,33,75
2019-07,31,76
2019-08,30,70
2019-09,37,83
2019-10,33,82
2019-11,33,73
2019-12,29,58
2020-01,32,64
2020-02,35,81
2020-03,30,68
2020-04,35,79
2020-05,32,72
2020-06,30,73
2020-07,33,72
2020-08,30,67
2020-09,33,73
2020-10,28,60
2020-11,27,49
2020-12,25,45
2021-01,26,47
2021-02,32,56
2021-03,27,54
2021-04,27,53
2021-05,25,45
2021-06,24,50
2021-07,24,48
2021-08,24,49
2021-09,29,59
2021-10,28,60
2021-11,28,59
2021-12,25,48
2022-01,32,70
2022-02,37,87
2022-03,36,92
2022-04,37,100
2022-05,32,84
2022-06,29,78
2022-07,30,77
2022-08,31,81
2022-09,34,89
2022-10,32,88
2022-11,33,85
2022-12,30,72
2023-01,31,77
2023-02,34,96
2023-03,33,89
2023-04,32,83
2023-05,29,73
2023-06,27,76
2023-07,27,72
2023-08,29,74
2023-09,31,82
2023-10,31,81
2023-11,30,73
2023-12,27,59
2024-01,30,72
2024-02,32,89
2024-03,31,76
2024-04,32,79
2024-05,29,69
2024-06,28,68
2024-07,27,65
2024-08,26,65
2024-09,30,71
2024-10,30,68
2024-11,28,63
2024-12,27,54
2025-01,28,61
2025-02,30,73
2025-03,29,65
2025-04,28,64
2025-05,26,54
2025-06,28,58
