# GA4 property,Sean Davis — web
# date range,2024-05-26 to 2026-08-01
"# BOOK ONLY /RBiocBook/* (de-duplicated by GA4, not a column sum)",screenPageViews=9098,activeUsers=1475,totalUsers=1475
# WHOLE PROPERTY (context only -- NOT book readership),screenPageViews=17554,activeUsers=3233,totalUsers=3237
pagePath,screenPageViews,activeUsers,totalUsers,userEngagementDuration
/RBiocBook/,1846,990,990,60093
/RBiocBook/intro.html,510,292,292,31035
/RBiocBook/single_cell/setup.html,441,164,164,72814
/RBiocBook/intro_to_rstudio.html,294,197,197,18787
/RBiocBook/r_intro_mechanics.html,281,178,178,34577
/RBiocBook/vectors.html,271,138,138,26663
/RBiocBook/r_basics.html,264,142,142,37303
/RBiocBook/data_structures_overview.html,246,149,149,22182
/RBiocBook/packages_and_dice.html,243,121,121,43794
/RBiocBook/reading_and_writing.html,220,125,125,34819
/RBiocBook/geoquery.html,216,111,111,17610
/RBiocBook/atac-seq/atac-seq.html,215,93,93,20616
/RBiocBook/dplyr_intro_msleep.html,206,92,92,14627
/RBiocBook/norm.html,199,127,127,12387
/RBiocBook/bioc-summarizedexperiment.html,195,100,100,22112
/RBiocBook/t-stats-and-tests.html,194,82,82,6461
/RBiocBook/matrices.html,161,88,88,24019
/RBiocBook/310_microbiome.html,151,50,50,5162
/RBiocBook/ggplot2/intro.html,142,79,80,31577
/RBiocBook/genomic_ranges_tutorial.html,141,65,65,14622
/RBiocBook/machine_learning/intro.html,137,82,82,14968
/RBiocBook/ranges_and_signals.html,137,53,53,11452
/RBiocBook/dataframes_intro.html,136,77,77,11987
/RBiocBook/sampling_and_functions.html,128,43,43,14271
/RBiocBook/packages_and_simulation.html,115,41,41,13794
/RBiocBook/visualization_guide.html,115,79,79,6426
/RBiocBook/lists.html,109,70,70,13576
/RBiocBook/machine_learning/mlr3verse_intro.html,109,59,59,10401
/RBiocBook/machine_learning/models.html,109,62,62,10770
/RBiocBook/rproj_and_save_load.html,107,69,69,14034
/RBiocBook/ranges_exercises.html,105,49,49,4040
/RBiocBook/ai_tools.html,103,67,67,6866
/RBiocBook/literate_programming.html,95,59,59,9274
/RBiocBook/biology_primer.html,88,47,47,10676
/RBiocBook/machine_learning/machine_learning_mlr3.html,83,39,39,10322
/RBiocBook/genomic_ranges.html,82,30,30,8471
/RBiocBook/kmeans.html,82,68,68,4909
/RBiocBook/eda_and_univariate_brfss.html,81,56,56,3845
/RBiocBook/factors.html,77,55,55,5198
/RBiocBook/genomic_ranges_chipseq.html,70,29,29,8840
/RBiocBook/eda_overview.html,58,45,45,2239
/RBiocBook/git_and_github.html,56,43,43,1416
/RBiocBook/additional_resources.html,45,28,28,829
/RBiocBook/references.html,43,31,31,351
/RBiocBook/single_cell/multiome.html,43,25,25,1061
/RBiocBook/single_cell/concepts.html,42,23,25,5355
/RBiocBook/control_statements.html,36,25,25,3593
/RBiocBook/dataviz.html,35,23,23,573
/RBiocBook/matrix_exercises.html,32,26,26,481
/RBiocBook/bioc-se-building.html,29,21,21,606
/RBiocBook/comparison_options.html,28,16,16,1791
/RBiocBook/machine_learning/ml_cancer.html,22,20,20,1780
/RBiocBook/machine_learning/ml_methylation_age.html,22,16,16,98
/RBiocBook/machine_learning/ml_expression.html,20,15,15,485
/RBiocBook/appendix.html,19,13,13,167
/RBiocBook/single_cell/atac_rna_label_transfer.html,18,15,15,2288
/RBiocBook/about.html,14,9,9,145
/RBiocBook/license.html,10,6,6,29
/RBiocBook/contributors.html,8,7,7,71
/RBiocBook/ml_practical.html,8,4,4,2374
/RBiocBook/machine_learning_mlr3.html,4,3,3,32
/RBiocBook/index.html,2,2,2,16
