# GA4 property,Sean Davis — web
# date range,2024-05-26 to 2026-06-22
"# SITE-WIDE (de-duplicated by GA4, not a column sum)",screenPageViews=14464,activeUsers=2234,totalUsers=2237
pagePath,screenPageViews,activeUsers,totalUsers,userEngagementDuration
/RBiocBook/,1601,876,876,43524
/RBiocBook/intro.html,429,249,249,21486
/RBiocBook/single_cell/setup.html,426,154,154,71464
/2024-r-intro-bigcare/,390,179,180,18011
/talks/2024-11-13-big-data-storage-formats/,296,38,38,2415
/2024-r-intro-bigcare/010_rstudio_and_r.html,287,140,140,28485
/,285,97,97,2778
/RBiocBook/r_basics.html,264,142,142,37303
/RBiocBook/packages_and_dice.html,243,121,121,43794
/2024-r-intro-bigcare/310_microbiome.html,241,87,87,38035
/RBiocBook/intro_to_rstudio.html,226,156,156,11670
/2024-r-intro-bigcare/020_r_basics.html,225,87,87,33705
/campus-llm-kb/resources_education.html,225,161,164,2138
/2024-r-intro-bigcare/eda.html,219,70,70,37042
/RBiocBook/vectors.html,214,111,111,22582
/2024-r-intro-bigcare/030_r_functions.html,213,89,89,44521
/campus-llm-kb/,211,135,135,1089
/2024-r-intro-bigcare/045_loading_data.html,210,85,85,28200
/RBiocBook/data_structures_overview.html,202,123,123,13273
/RBiocBook/r_intro_mechanics.html,202,136,136,24252
/RBiocBook/atac-seq/atac-seq.html,196,86,86,19280
/RBiocBook/geoquery.html,194,95,95,16506
/RBiocBook/reading_and_writing.html,179,100,100,31287
/2024-r-intro-bigcare/ggplot.html,178,74,74,27649
/RBiocBook/norm.html,176,113,113,11870
/2024-r-intro-bigcare/050_r_scripts.html,174,70,70,19228
/RBiocBook/t-stats-and-tests.html,174,67,67,5070
/RBiocBook/bioc-summarizedexperiment.html,166,84,84,19011
/talks/llm-intro.html,159,1,1,1973
/RBiocBook/dplyr_intro_msleep.html,154,80,80,13449
/2024-10-31-ml-intro/index.html,152,1,1,6894
/RBiocBook/matrices.html,148,81,81,21752
/RBiocBook/genomic_ranges_tutorial.html,141,65,65,14622
/RBiocBook/ranges_and_signals.html,137,53,53,11452
/2024-r-intro-bigcare/vectors.html,131,60,60,26457
/RBiocBook/ggplot2/intro.html,129,70,71,30570
/RBiocBook/machine_learning/intro.html,128,74,74,14718
/RBiocBook/dataframes_intro.html,121,68,68,10754
/talks/,119,45,45,2605
/tech-examples/placement.html,119,1,1,1626
/2024-r-intro-bigcare/dataframes_intro.html,118,49,49,9760
/2024-r-intro-bigcare/matrices.html,118,50,50,23283
/talks/med-qa/medical-question-answering.html,116,1,1,1219
/IDPT-8079/talks/ml-intro/,114,24,24,7696
/RBiocBook/310_microbiome.html,114,39,39,4400
/RBiocBook/machine_learning/models.html,106,59,59,10758
/RBiocBook/ranges_exercises.html,104,48,48,4039
/RBiocBook/visualization_guide.html,104,68,68,5827
/2024-r-intro-bigcare/data_structures_overview.html,103,56,56,23519
/RBiocBook/machine_learning/mlr3verse_intro.html,101,57,57,10401
/architecture/authentication/,100,2,2,670
/talks/ml-intro/index.html,100,1,1,1446
/RBiocBook/lists.html,98,62,62,12179
/IDPT-8079/,94,43,43,908
/ml-fairness/index.html,91,1,1,796
/campus-llm-kb/framework.html,87,60,61,1256
/RBiocBook/machine_learning/machine_learning_mlr3.html,83,39,39,10322
/RBiocBook/ai_tools.html,81,50,50,3560
/2025-09-30-ai-history/index.html,76,1,1,481
/Exercises/retrieval-augmented-generation/rag.html,74,1,1,1108
/RBiocBook/kmeans.html,74,62,62,4492
/RBiocBook/genomic_ranges.html,71,24,24,8272
/RBiocBook/eda_and_univariate_brfss.html,65,47,47,2466
/IDPT-8079/talks/ai-history/,63,30,30,961
/RBiocBook/factors.html,63,49,49,4087
/2025-10-07-rag-notebooklm-idpt-8079/,62,1,1,1108
/IDPT-8079/Exercises/aom-expert-system/play-with-prolog.html,62,31,31,9208
/single_cell/setup.html,60,1,1,2128
/RBiocBook/genomic_ranges_chipseq.html,59,22,22,8706
/IDPT-8079/talks/ai-in-medical-education/,52,10,10,2265
/RBiocBook/biology_primer.html,52,24,24,7920
/RBiocBook/eda_overview.html,52,39,39,2228
/RBiocBook/git_and_github.html,51,38,38,1230
/RBiocBook/references.html,41,29,29,350
/talks/2025-10-07-rag-notebooklm-idpt-8079/,40,15,15,417
/docs/user-guide/configuring-images/,39,1,1,119
/RBiocBook/rproj_and_save_load.html,37,26,26,3934
/machine_learning/intro.html,37,1,1,2884
/310_microbiome.html,36,4,4,836
/IDPT-8079/Exercises/retrieval-augmented-generation/rag.html,36,13,15,453
/talks/2024-11-06-deep-learning-intro/,36,36,36,426
/talks/prompt-engineering.html,36,1,1,411
/RBiocBook/dataviz.html,35,23,23,573
/RBiocBook/additional_resources.html,34,23,23,319
/flatiron_details/,34,19,19,570
/talks/ai-in-medical-education/index.html,34,1,1,494
/talks/ai-agents/llm-2.html,32,1,1,881
/talks/2024-11-12-word-embeddings-basis-for-llms/,30,29,29,1018
/talks/word-embedding-exercises.html,29,1,1,213
/book/history-of-ai.html,28,1,1,666
/ggplot2/intro.html,28,1,1,59
/talks/2024-10-31-ml-intro/,28,14,15,1876
/talks/ml-intro/,28,1,1,399
/BiocBuildDB/index.html,27,7,7,62
/RBiocBook/matrix_exercises.html,27,21,21,338
/RBiocBook/single_cell/multiome.html,27,13,13,699
/RBiocBook/single_cell/concepts.html,26,12,14,4405
/campus-llm-kb/barriers.html,26,23,23,204
/talks/llm-2.html,26,1,1,716
/tech-examples/colors.html,26,1,1,434
/lecture_notes/deep-learning-and-cnns.html,24,1,1,1465
/talks/prompt-engineering/prompt-engineering.html,23,1,1,198
/architecture/platform-overview/,22,5,5,122
/campus-llm-kb/implementation.html,22,14,14,266
/campus-llm-kb/domainresource.html,21,20,20,15
/genomic_ranges_tutorial.html,21,1,1,491
/icc-eval-reports/,21,11,11,95
/RBiocBook/bioc-se-building.html,20,14,14,545
/talks/2024-10-30-ai-history/,20,14,14,421
/RBiocBook/appendix.html,19,13,13,167
/RBiocBook/control_statements.html,18,13,13,1735
/campus-llm-kb/preface.html,18,10,10,98
/omicidxr/,18,8,8,376
/BiocBuildDB/,16,10,10,274
/atac-seq/atac-seq.html,16,1,1,463
/campus-llm-kb/HHS.html,16,15,15,22
/campus-llm-kb/resources_clinical.html,16,11,11,175
/2024-11-12-word-embeddings-basis-for-llms/word-embeddings.html,15,1,1,95
/RBiocBook/literate_programming.html,14,12,12,2266
/RBiocBook/machine_learning/ml_methylation_age.html,14,9,9,72
/flatiron_details/data_model_breast.html,14,11,11,233
/2024-10-30-ai-history/index.html,13,1,1,340
/reading_and_writing.html,13,3,3,125
/RBiocBook/machine_learning/ml_cancer.html,12,10,10,1661
/campus-llm-kb/resources_research.html,12,7,7,26
/campus-llm-kb/values.html,12,8,8,143
/flatiron_details/intro.html,12,7,7,264
/machine_learning/models.html,11,1,1,278
/ml_practical.html,11,1,1,696
/omicidxr/articles/introduction.html,11,5,5,1063
/RBiocBook/license.html,10,6,6,29
/campus-llm-kb/bill_of_rights.html,10,9,9,51
/docs/,10,2,2,85
/docs/architecture/domain-structure/,10,1,1,425
/factors.html,10,1,1,368
/flatiron_details/data_flow_diagram.html,10,7,7,618
/talks/2024-11-05-ml-fairness/,10,7,7,176
/talks/ai-in-medical-education/,10,1,1,500
/RBiocBook/machine_learning/ml_expression.html,9,6,6,417
/RBiocBook/single_cell/atac_rna_label_transfer.html,9,7,7,2274
/campus-llm-kb/appendices.html,9,8,8,65
/docs/contributing/testing/,9,1,1,27
/flatiron_details/domains.html,9,6,6,138
/single_cell/setup,9,5,5,799
/RBiocBook/about.html,8,4,4,62
/RBiocBook/comparison_options.html,8,6,6,1211
/RBiocBook/ml_practical.html,8,4,4,2374
/getting-started/introduction/,8,4,4,118
/intro_to_rstudio.html,8,2,2,113
/single_cell/multiome,8,7,7,1451
/030_r_functions.html,7,2,2,92
/Exercises/aom-expert-system/play-with-prolog.html,7,1,1,59
/docs/architecture/platform-overview/,7,1,1,78
/flatiron_details/data_model_general.html,7,5,5,87
/talks/2024-10-17-ai-agents-and-llms/,7,5,5,53
/talks/2024-10-28-ai-ml-oncology-service-line/,7,5,5,150
/BiocBuildDB/articles/build-reports.html,6,6,6,68
/campus-llm-kb/resources_business.html,6,6,6,64
/docs/architecture/data-model/,6,1,1,21
/eda_and_univariate_brfss.html,6,2,2,143
/flatiron_details/part_source_data.html,6,5,5,194
/machine_learning/mlr3verse_intro.html,6,1,1,298
/r_intro_mechanics.html,6,2,2,50
/talks/2024-09-20-ml-intro/,6,5,5,378
/visualization_guide.html,6,2,2,162
/020_r_basics.html,5,2,2,195
/2025-10-07-rag-notebooklm-idpt-8079/index.html,5,1,1,67
/IDPT-8079/talks/ai-agents/llm-2.html,5,6,6,55
/architecture/data-model/,5,2,2,9
/docs/getting-started/introduction/,5,1,1,30
/flatiron_details/appendix_downloads.html,5,3,3,46
/flatiron_details/data_model_ovarian.html,5,4,4,12
/getting-started/installation/,5,3,3,24
/omicidxr/reference/index.html,5,2,2,18
/single_cell/atac_rna_label_transfer,5,2,2,562
/single_cell/concepts,5,4,4,1137
/010_rstudio_and_r.html,4,2,2,67
/2024-11-13-big-data-storage-formats/index.html,4,1,1,79
